Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Ja'Marr Chase,CIN,WR1,1.6,12.7,0,120.1,"1,580.90",12.2,0.6,351.8
Bijan Robinson,ATL,RB1,304.8,"1,421.80",11.4,58.9,447.2,2.2,1.4,325
Saquon Barkley,PHI,RB2,336.4,"1,683.60",11.1,43.2,331.1,2.2,1.4,321.5
Jahmyr Gibbs,DET,RB3,240.2,"1,240.40",11.7,58.2,511.9,2.8,1.3,317.6
CeeDee Lamb,DAL,WR2,9.1,58.8,0.3,112.1,"1,395.20",8.1,1,306.1
Justin Jefferson,MIN,WR3,0.5,2.2,0,103.5,"1,443.30",9.5,0.6,303.7
Christian McCaffrey,SF,RB4,245.5,"1,110.90",8.1,64.6,556.9,3.5,1.8,297.5
Malik Nabers,NYG,WR4,2.6,12.2,0,107,"1,343.60",8.3,0.6,291.3
Puka Nacua,LAR,WR5,10.7,61.4,0.6,103.8,"1,347.70",6.8,0.6,287.8
Amon-Ra St. Brown,DET,WR6,1.9,12.6,0.1,109.7,"1,257.80",8.8,0.9,287.8
De'Von Achane,MIA,RB5,217.9,"1,014.60",7.6,68.5,505.7,3.9,1.3,286.8
Nico Collins,HOU,WR7,0,1.6,0,92.2,"1,315.20",9,0.5,276.7
Brian Thomas Jr.,JAC,WR8,3.8,24.9,0,91.9,"1,293.90",8.6,0.6,274.5
Derrick Henry,BAL,RB6,306.2,"1,554.40",13.7,16.3,153,0.9,1.4,272.1
Josh Jacobs,GB,RB7,291,"1,234.20",11.5,38,315,1.5,1.5,267.5
Ashton Jeanty,LV,RB8,272.9,"1,227.70",9.3,45.9,361.5,1.9,2.4,267
Drake London,ATL,WR9,0.3,2,0,95.7,"1,231.10",8.2,0.6,267
Chase Brown,CIN,RB9,244.7,"1,033.10",8.4,57.8,406.6,2.8,1.4,266.4
Jonathan Taylor,IND,RB10,310.7,"1,413.10",10.7,28.5,204.2,1.3,1.6,258.9
A.J. Brown,PHI,WR10,0,0,0,84.9,"1,243.00",8.4,0.9,257.6
Bucky Irving,TB,RB11,245.1,"1,161.90",8.5,45.3,352.7,1.7,1.4,255.2
Kyren Williams,LAR,RB12,291.7,"1,249.30",11.6,33.5,212.9,1.7,2.3,254.8
Ladd McConkey,LAC,WR11,0,1.4,0,90.1,"1,206.00",7.5,0.7,254.7
Brock Bowers,LV,TE1,0,8,0,105.1,"1,115.40",6.1,0.5,253.1
Tee Higgins,CIN,WR12,0,0,0,86.2,"1,096.10",8.9,0.9,247.6
Mike Evans,SF,WR13,0,0,0,79.8,"1,073.50",10,0.5,246
Jaxon Smith-Njigba,SEA,WR14,2.7,20.9,0,93.1,"1,110.70",6.6,0.6,244.8
Terry McLaurin,WAS,WR15,1.1,4.8,0,84.3,"1,122.00",8.2,0.9,244.7
Davante Adams,LAR,WR16,0.3,0,0,85.1,"1,098.30",8.3,0.5,243.8
Trey McBride,ARI,TE2,0,1.5,0,103.9,"1,051.00",5.8,0.5,243.2
Alvin Kamara,NO,RB13,218.7,897.3,5.4,62.7,478,2,1.3,242.4
Garrett Wilson,NYJ,WR17,1.9,13.5,0,91.2,"1,088.80",6,1.3,234.7
DK Metcalf,PIT,WR18,0,1.2,0,78.6,"1,144.10",7.3,1.3,234.5
James Cook III,BUF,RB14,232.5,"1,090.00",9.8,31.6,258.7,1.9,1.4,233.6
James Conner,ARI,RB15,223,"1,004.10",8.2,42.4,325.4,1.7,1.4,232.2
Marvin Harrison Jr.,ARI,WR19,0,3.2,0,78.7,"1,087.20",7.6,1,231.4
DJ Moore,BUF,WR20,9.5,53.8,0.1,87.3,"1,009.50",6.4,0.9,231.1
Chuba Hubbard,CAR,RB16,252.3,"1,109.60",8.2,40.9,246.5,1.1,1.8,228.6
Xavier Worthy,KC,WR21,15.5,84.7,1.5,74.5,926.4,7.5,0.5,228.5
Breece Hall,NYJ,RB17,218.4,977.9,5.8,46,376.5,1.9,1.6,224.7
Zay Flowers,BAL,WR22,8.2,48.5,0.1,77,"1,044.60",6.4,0.5,224.4
Tetairoa McMillan,CAR,WR23,0.5,7.6,0,80.7,"1,047.50",6.4,1.2,222.5
Courtland Sutton,DEN,WR24,0,0.2,0,76.6,"1,016.60",7.6,0.9,222.1
Kenneth Walker III,KC,RB18,233.4,948.3,8,43,308.1,1.3,1.3,221.4
DeVonta Smith,PHI,WR25,0.3,1.2,0,81.2,977.2,7,0.5,220.1
George Kittle,SF,TE3,0,0,0,75.2,"1,014.60",7.4,0.5,220
Jerry Jeudy,CLE,WR26,0.3,4.8,0,82.8,"1,121.90",4.2,0.6,219.7
Omarion Hampton,LAC,RB19,225.5,985.6,8.7,35.2,273,1.5,2.1,218
Calvin Ridley,TEN,WR27,5.6,33.4,0.3,71.4,"1,045.00",6,0.9,215.3
Tony Pollard,TEN,RB20,251.4,"1,050.80",5.9,42.9,275,0.9,1,214.5
Jameson Williams,DET,WR28,7.4,63.4,0.8,62.4,991,6.4,0.5,210.3
George Pickens,DAL,WR29,1,6.2,0,69.6,"1,018.80",6.4,0.9,209.1
Jaylen Waddle,DEN,WR30,2.8,16.4,0.1,77.7,993.3,5,0.5,208.2
TreVeyon Henderson,NE,RB21,222.7,968.6,6.3,36.6,284.3,1.8,1.7,206.8
D'Andre Swift,CHI,RB22,237.6,963.2,6.1,36.6,283.2,1.2,1.1,203.2
Aaron Jones Sr.,MIN,RB23,198.8,888.8,4.5,44.3,327.1,2.3,1.8,202.9
David Montgomery,HOU,RB24,199.2,837.1,9,31.7,260.2,0.9,1,198.8
Jakobi Meyers,JAC,WR31,1.2,8.7,0,77.7,907.4,4.9,0.5,197.9
Travis Hunter,JAC,WR32,3.8,21.7,0.1,71.6,928,5.4,0.8,197.8
Chris Olave,NO,WR33,0.3,2.6,0,75.1,941.1,4.3,0.9,193.7
Rome Odunze,CHI,WR34,1.3,8,0,68.5,917.7,5.6,0.9,193.2
Cooper Kupp,SEA,WR35,1.3,9.2,0,74.9,846.5,5.6,0.6,193
Matthew Golden,GB,WR36,0.5,9.4,0,65.2,904.6,6.1,0.8,191.6
Michael Pittman Jr.,PIT,WR37,0.3,2,0,78.1,884.3,4.2,0.9,190.3
Sam LaPorta,DET,TE4,0,0,0,69.9,785.3,7,0.4,189.4
Travis Kelce,KC,TE5,0,0.5,0,81.3,776.3,5.3,0.9,188.9
Ricky Pearsall,SF,WR38,7,54,0.3,63.4,851.5,5.5,0.6,187.6
RJ Harvey,DEN,RB25,192.4,827.7,5.8,35.3,269.9,1.7,1.3,187.3
Isiah Pacheco,DET,RB26,207.7,857.2,6,34.1,234,1.1,1,183.8
Tyrone Tracy Jr.,NYG,RB27,192.7,830.6,5.4,36,268.2,1.1,1.6,181.5
Emeka Egbuka,TB,WR39,1.6,11.5,0,65.3,827.9,5.7,1.1,181.3
Khalil Shakir,BUF,WR40,0.5,3,0,71,803.1,4.9,0.6,179.8
Jaylen Warren,PIT,RB28,148.9,666,3.6,49.8,361.3,1.2,1.1,178.8
Chris Godwin Jr.,TB,WR41,1.6,8.1,0,67.6,784.6,5.1,0.6,176.6
T.J. Hockenson,MIN,TE6,0,0,0,72.6,762.5,4.6,0.5,175.3
Darnell Mooney,NYG,WR42,0,1.5,0,61.1,864.2,4.6,0.5,174.2
Mark Andrews,BAL,TE7,0,2,0,58.9,700.5,7.7,0.8,173.6
Josh Downs,IND,WR43,0.3,5.8,0,69,767.3,4.5,0.5,172.4
Jordan Addison,MIN,WR44,0.9,6.6,0.2,58,760.6,6.1,0.4,171.5
Rashid Shaheed,SEA,WR45,8,46.7,0.1,55.5,840.5,4.7,1.2,170.9
Keon Coleman,BUF,WR46,0.3,3.8,0,52.3,822.3,6.1,0.5,170.6
Kaleb Johnson,PIT,RB29,206.6,864.2,6.6,22.9,175.3,1,1.7,169
Rashee Rice,KC,WR47,0.8,4.1,0,61.9,733.1,5.4,0.6,166.9
Jayden Reed,GB,WR48,11.1,79.8,0.7,52.6,703.2,5.2,0.9,164.3
Marvin Mims Jr.,DEN,WR49,11.9,49.7,0.1,52.8,697.8,5.4,0.6,159.4
Tyler Warren,IND,TE8,0,10.5,0,63.2,679.1,4.7,1.1,158.2
Evan Engram,DEN,TE9,0,0,0,70.4,628.1,4.2,0.9,156.6
Xavier Legette,CAR,WR50,6.2,30.6,0.1,60.1,678.1,4.3,0.5,156.1
Zach Charbonnet,SEA,RB30,135.9,586.2,4.9,36,267.2,1,0.8,155.3
Cedric Tillman,CLE,WR51,0.7,0.8,0,58,734,4.1,0.9,154.4
Rashod Bateman,BAL,WR52,0,0.6,0,47.7,714.7,5.8,0.1,153.9
Wan'Dale Robinson,TEN,WR53,2,15.8,0,69.2,625.7,3.1,0.5,151.5
Javonte Williams,DAL,RB31,167.4,641.6,4.4,34.3,219.9,0.9,0.6,150.9
Jacory Croskey-Merritt,WAS,RB32,163.9,693.6,5.8,22.7,179.4,1.3,0.9,150.7
Jake Ferguson,DAL,TE10,0,0,0,67.9,621,3.8,1.3,150.3
Hollywood Brown,PHI,WR54,0.3,2,0,55.4,682.7,4.4,0.2,149.7
Travis Etienne Jr.,NO,RB33,140.2,573.1,3.8,36.9,272.9,1.1,0.8,149.2
Tucker Kraft,GB,TE11,0,0,0,55.5,653.6,4.8,0.8,148
DeMario Douglas,NE,WR55,2.1,15.9,0,60.8,646.4,3.5,0.2,147.8
J.K. Dobbins,DEN,RB34,147.2,655.3,4.8,29.6,189.7,1.2,1.2,147.5
Keenan Allen,LAC,WR56,0.3,2,0,55.4,638.8,4.8,0.6,146.9
Christian Kirk,SF,WR57,0.7,4,0,54.3,698.3,3.7,0.8,144.9
Dallas Goedert,PHI,TE12,0,2,0,57.5,634.2,3.9,0.5,143.6
Kyle Pitts Sr.,ATL,TE13,0,0,0,51.2,648.4,4.2,0.1,141.4
Rhamondre Stevenson,NE,RB35,153,620.8,5,27.8,176.8,1.1,1.5,141
Dalton Kincaid,BUF,TE14,0,0,0,57.3,603.2,4,0.5,140.9
Jerome Ford,WAS,RB36,142.7,589,3.1,34.3,238.4,1.1,0.8,140.6
Jayden Higgins,HOU,WR58,0.7,4,0,50,663.6,3.9,0.4,139.3
Brandon Aiyuk,SF,WR59,0,0.8,0,45,685.8,3.7,0.5,134.9
Hunter Henry,NE,TE15,0,0,0,54.4,568.5,3.9,0.4,133.8
Jordan Mason,MIN,RB37,164.2,755.5,4.7,16.2,118.4,0.5,0.7,133.3
Colston Loveland,CHI,TE16,0,0,0,54.3,569.6,3.8,1.1,131.7
Romeo Doubs,NE,WR60,0,0.5,0,46.9,598.2,4.3,0.5,131.4
Rachaad White,WAS,RB38,104.6,420.7,2.7,35.7,269.8,2.1,1.3,131
Chig Okonkwo,WAS,TE17,0,3,0,56.5,563.5,3.2,0.8,130.8
Brenton Strange,JAC,TE18,0,0,0,55.2,548.8,3.5,0.5,130.1
Joshua Palmer,BUF,WR61,0,0.5,0,44.5,622.5,3.8,0.1,129
Tyler Lockett,LV,WR62,0,0,0,49.2,570.3,3.4,0.1,126.2
Cade Otton,TB,TE19,0,0,0,50.4,515.6,4.1,0.5,125.7
Michael Wilson,ARI,WR63,1.9,8.9,0.1,44.9,540.2,4.1,0.5,123.5
Luther Burden III,CHI,WR64,3.6,27.2,0.4,44.8,542.1,3.2,1.1,120.8
Mike Gesicki,CIN,TE20,0,0,0,50.8,501.3,3.4,0.4,120.6
Mason Taylor,NYJ,TE21,0,0,0,51.5,518,3,0.8,119.7
Cam Skattebo,NYG,RB39,122.3,523.4,3.5,23.8,185,1,1.2,118.7
Pat Freiermuth,PIT,TE22,0,0,0,50.9,488.4,3.4,0.9,118.3
Quinshon Judkins,CLE,RB40,127,543.7,3.6,21.7,168.3,0.9,1.2,117.8
Dalton Schultz,HOU,TE23,0,0,0,48.8,503.8,3.2,0.4,117.4
Calvin Austin III,NYG,WR65,2.3,11.8,0.1,41,547.6,3.5,0.5,117
Dylan Sampson,CLE,RB41,125,518.5,3,22.8,178.6,0.9,0.8,114.8
Juwan Johnson,NO,TE24,0,0,0,47,486.4,3.2,0.2,114.4
Tre Harris,LAC,WR66,0.7,3.8,0,40.6,542.4,3.4,0.7,114.3
Theo Johnson,NYG,TE25,0,0,0,46.5,507.7,2.8,0.1,113.8
Isaiah Likely,NYG,TE26,0,0,0,39.5,468.3,4.6,0.7,112.7
Jaydon Blue,DAL,RB42,113.8,496.2,3.1,22.9,176.6,0.9,0.8,112.2
Trey Benson,ARI,RB43,129.4,581.4,3.8,16.5,125.8,0.5,0.9,111.4
Tyler Higbee,LAR,TE27,0,0,0,45.2,423.9,3.7,0.1,109.3
Tank Bigsby,PHI,RB44,150.5,618.7,5,10.6,76.9,0.2,1.1,109
Tutu Atwell,MIA,WR67,4.3,20.2,0.1,39.9,507.9,2.2,0.1,106.3
Alec Pierce,IND,WR68,0,0,0,31.1,536.5,3.5,0.1,105.4
Darius Slayton,NYG,WR69,1.4,6.4,0,35.5,534.3,2.5,0.2,104.7
Najee Harris,LAC,RB45,124.6,484.2,3.8,17.7,130,0.7,0.8,104.6
Quentin Johnston,LAC,WR70,1.7,7.3,0,34.4,452,4.1,0.4,104.2
Tyjae Spears,TEN,RB46,83.1,335.3,2.5,28.4,212,1,0.5,103.3
Ja'Tavion Sanders,CAR,TE28,0,0,0,44.2,442.4,2.4,0.1,102.8
DeAndre Hopkins,BAL,WR71,0,0.5,0,34.1,434.5,4.2,0.1,102.3
Jalen Coker,CAR,WR72,0,2.3,0,38.9,487.9,2.4,0.1,102.2
Tyler Allgeier,ARI,RB47,121.3,555.1,3.3,13.8,102.1,0.4,0.8,100.2
Bhayshul Tuten,JAC,RB48,106.6,448.9,3.1,18.5,145.1,0.9,0.9,99.8
Jalen Tolbert,MIA,WR73,0,0,0,35.7,422,3.6,0.1,99.2
Tory Horton,SEA,WR74,1,8,0,36.8,485.5,2.5,1,98.8
Elijah Arroyo,SEA,TE29,0,0,0,40,424.1,2.8,0.4,98.6
Rico Dowdle,PIT,RB49,93.1,416.2,2.4,22.4,151.8,1.1,0.8,98.3
Troy Franklin,DEN,WR75,1.1,6.1,0,34.6,434.2,3.3,0.1,98.1
Ray Davis,BUF,RB50,114.6,485.6,3.7,12.4,105.6,1,0.8,97.7
Dyami Brown,WAS,WR76,0.7,6.8,0,35.7,455,2.5,0.5,96.1
Nick Westbrook-Ikhine,IND,WR77,0,1.3,0,31.3,427.2,3.7,0.1,96
Braelon Allen,NYJ,RB51,116.6,440.4,3,16.8,126.5,0.8,0.4,95.5
Pat Bryant,DEN,WR78,0,0,0,34.2,416.6,3.1,0.1,94
Kyle Williams,NE,WR79,2.1,13.3,0,33.5,428.5,2.5,0.4,92.2
Andrei Iosivas,CIN,WR80,0,0,0,31.2,379.2,3.7,0.1,90.9
Kayshon Boutte,NE,WR81,0,0,0,31.9,428.1,2.7,0.1,90.6
Noah Fant,NO,TE30,0,0,0,37.2,381,2.4,0.1,89.9
Jordan Whittington,LAR,WR82,1.1,13.9,0,33.9,395,2.4,0.1,89
Elic Ayomanor,TEN,WR83,0,5.7,0,33.3,404.6,2.3,0.1,88
Kendre Miller,NO,RB52,110.2,416.5,3.7,12,90,0.2,0.5,85.1
Ollie Gordon II,MIA,RB53,96.7,410.2,3.4,12.4,94.9,0.5,1.1,84
Justice Hill,BAL,RB54,41.9,185.3,1.2,27.3,221.2,1.7,0.4,83.9
Greg Dortch,DET,WR84,4.8,30.6,0.1,33,329.1,2.5,0.4,83.5
Roman Wilson,PIT,WR85,0,0,0,30.3,378.5,2.6,0.1,83.4
Roschon Johnson,CHI,RB55,86.7,300.8,4.2,14.9,98.1,0.4,0.1,82.5
Tre Tucker,LV,WR86,5.6,31.6,0.3,28.4,359.4,2.1,0.1,82.3
Isaac TeSlaa,DET,WR87,0,0,0,28.4,375.3,2.3,0.1,79.6
Tyler Conklin,DET,TE31,0,0,0,33.5,324.6,2.3,0,79.5
Adonai Mitchell,NYJ,WR88,2.9,9.5,0.1,28.3,371,2.2,0.4,78.8
Brian Robinson Jr.,ATL,RB56,106.3,427,3.5,8.1,66.5,0.4,1.2,78.5
Jaylen Wright,MIA,RB57,108.2,426.9,2.8,10.5,71.2,0.5,1.1,77.5
Noah Gray,KC,TE32,0,0.5,0,30.1,307.9,2.8,0.1,77.4
AJ Barner,SEA,TE33,0,0,0,32.3,305.6,2.4,0.1,77.1
Jamari Thrash,CLE,WR89,0,0,0,29.5,355.8,1.9,0.1,76.2
Dontayvion Wicks,PHI,WR90,0,1.3,0,25.6,321.4,3,0,75.8
Malik Washington,MIA,WR91,2,13.8,0.1,30,313,1.8,0.6,72.8
Raheem Mostert,LV,RB58,77.2,278.3,2.4,16.3,121,0.6,0.8,72.5
Blake Corum,LAR,RB59,93.4,347.4,2.3,12.6,93.1,0.3,0.4,71.7
Woody Marks,HOU,RB60,58.4,234.6,1.6,19.4,144.5,0.8,0.1,71.6
KaVontae Turpin,DAL,WR92,8.3,57.9,0.5,23.7,289.7,1.9,0.7,71.3
Harold Fannin Jr.,CLE,TE34,0,0,0,30.7,303.4,1.8,0.4,70.9
Christian Watson,GB,WR93,3.3,14,0,19.9,355.3,2.3,0.4,70.1
Austin Hooper,ATL,TE35,0,0,0,29.6,294.7,1.9,0.4,69.5
Dont'e Thornton Jr.,LV,WR94,0,2,0,24.9,324.6,2,0.1,69.4
MarShawn Lloyd,GB,RB61,87.5,313.9,2.5,11,88.3,0.6,0.4,69.3
Cole Kmet,CHI,TE36,0,0,0,28.4,272.7,2.3,0.4,68.5
Samaje Perine,CIN,RB62,49.5,201.6,1.3,18.4,161.8,0.9,0.7,66.8
Devaughn Vele,NO,WR95,0,1.7,0,27.5,292,1.7,0.2,66.6
Ty Johnson,BUF,RB63,45.2,206,0.9,15.1,165.3,1.5,0.1,66.5
Michael Mayer,LV,TE37,0,0,0,28.5,262.1,1.8,0.1,65.3
Van Jefferson,WAS,WR96,0,0,0,23.6,303.8,1.9,0.1,65.2
Jalen Nailor,LV,WR97,1.8,3.1,0,21,285.6,2.6,0.4,64.8
Tahj Brooks,CIN,RB64,66.1,266.1,2.1,12.4,103.6,0.7,1,64.2
