"Player","Team","FG","FGA","XPT","FPTS"
"Brandon Aubrey","DAL","33.2","37.3","40.6","140.1"
"Matt Gay","LV","29.9","35.3","47.4","137.2"
"Chase McLaughlin","TB","30.1","32.9","46.3","136.6"
"Jake Elliott","PHI","29.3","34.2","46.4","134.2"
"Tyler Bass","BUF","27.4","32.9","51.3","133.4"
"Cameron Dicker","LAC","31.2","34.3","37.8","131.3"
"Tyler Loop","BAL","27.4","32.5","47.7","129.7"
"Jake Bates","DET","27.0","30.3","48.1","128.9"
"Harrison Butker","KC","28.7","33.3","42.3","128.3"
"Ka'imi Fairbairn","HOU","30.7","34.7","35.8","127.8"
"Brandon McManus","GB","27.7","32.3","44.5","127.7"
"Chris Boswell","PIT","30.2","33.7","35.5","126.1"
"Evan McPherson","CIN","26.2","32.6","46.9","125.5"
"Wil Lutz","DEN","28.4","32.3","40.2","125.4"
"Will Reichard","MIN","28.0","33.3","41.2","125.1"
"Chad Ryland","ARI","28.4","34.0","39.0","124.2"
"Joshua Karty","ARI","28.0","33.3","38.6","122.6"
"Spencer Shrader","IND","27.5","32.7","38.2","120.7"
"Daniel Carlson","LV","29.2","34.1","32.8","120.5"
"Jake Moody","WAS","26.3","33.7","40.7","119.6"
"Cam Little","JAC","27.4","30.7","36.5","118.8"
"Cairo Santos","CHI","26.7","30.7","37.1","117.3"
"Jason Myers","SEA","27.5","31.1","34.2","116.6"
"Nick Folk","ATL","26.3","29.4","33.4","112.4"
"Blake Grupe","IND","26.5","31.1","30.1","109.8"
"Joey Slye","TEN","25.8","31.7","31.4","108.8"
"Ryan Fitzgerald","CAR","24.5","29.4","34.6","108.1"
"Andy Borregales","NE","24.8","29.7","32.8","107.3"
"Jason Sanders","NYG","23.7","26.7","31.5","102.7"
"Andre Szmyt","CLE","22.9","27.8","25.7","94.5"
"Riley Patterson","MIA","7.1","8.9","9.2","30.6"
"Cade York","NYJ","0.0","0.0","0.0","0.0"
"Lucas Havrisik","GB","0.0","0.0","0.0","0.0"
"Harrison Mevis","LAR","0.0","0.0","0.0","0.0"
"Eddy Pineiro","SF","0.0","0.0","0.0","0.0"
"Zane Gonzalez","MIA","0.0","0.0","0.0","0.0"
""
""